Entity;Day;Daily new confirmed deaths due to COVID-19 per million people (rolling 7-day average, right-aligned)
Canada;2021/03/03;1.0745217
Canada;2021/03/04;1.0377231
Canada;2021/03/05;1.0782015
Canada;2021/03/06;1.0266834
Canada;2021/03/07;1.0009243
Canada;2021/03/08;0.93100685
Canada;2021/03/09;0.91996723
Canada;2021/03/10;0.9236471
Canada;2021/03/11;0.927327
Canada;2021/03/12;0.83533025
Canada;2021/03/13;0.79485166
Canada;2021/03/14;0.7617329
Canada;2021/03/15;0.7911718
Canada;2021/03/16;0.79485166
Canada;2021/03/17;0.78381205
Canada;2021/03/18;0.758053
Canada;2021/03/19;0.78381205
Canada;2021/03/20;0.7801322
Canada;2021/03/21;0.75437313
Canada;2021/03/22;0.72861403
Canada;2021/03/23;0.7322939
Canada;2021/03/24;0.7911718
Canada;2021/03/25;0.77645236
Canada;2021/03/26;0.7322939
Canada;2021/03/27;0.72493416
Canada;2021/03/28;0.7617329
Canada;2021/03/29;0.7727725
Canada;2021/03/30;0.75069326
Canada;2021/03/31;0.65869653
Canada;2021/04/01;0.6881355
Canada;2021/04/02;0.7175744
Canada;2021/04/03;0.758053
Canada;2021/04/04;0.7322939
Canada;2021/04/05;0.6918154
Canada;2021/04/06;0.68077576
Canada;2021/04/07;0.77645236
Canada;2021/04/08;0.7617329
Canada;2021/04/09;0.75437313
Canada;2021/04/10;0.7359738
Canada;2021/04/11;0.7690926
Canada;2021/04/12;0.86844903
Canada;2021/04/13;0.89420813
Canada;2021/04/14;0.84269
Canada;2021/04/15;0.89052826
Canada;2021/04/16;0.97516525
Canada;2021/04/17;1.0340432
Canada;2021/04/18;1.0487627
Canada;2021/04/19;1.0671619
Canada;2021/04/20;1.0671619
Canada;2021/04/21;1.1333996
Canada;2021/04/22;1.1665184
Canada;2021/04/23;1.1701983
Canada;2021/04/24;1.1738782
Canada;2021/04/25;1.2253964
Canada;2021/04/26;1.2511554
Canada;2021/04/27;1.2953138
Canada;2021/04/28;1.2695547
Canada;2021/04/29;1.2732346
Canada;2021/04/30;1.2548352
Canada;2021/05/01;1.2658749
Canada;2021/05/02;1.2474755
Canada;2021/05/03;1.1849178
Canada;2021/05/04;1.1628386
Canada;2021/05/05;1.1628386
Canada;2021/05/06;1.1959574
Canada;2021/05/07;1.2217165
Canada;2021/05/08;1.1481191
Canada;2021/05/09;1.1150002
Canada;2021/05/10;1.151799
Canada;2021/05/11;1.2437956
Canada;2021/05/12;1.2511554
Canada;2021/05/13;1.1665184
Canada;2021/05/14;1.1444392
Canada;2021/05/15;1.2290761
Canada;2021/05/16;1.232756
Canada;2021/05/17;1.1959574
Canada;2021/05/18;1.1076405
Canada;2021/05/19;1.0745217
Canada;2021/05/20;1.0966009
Canada;2021/05/21;1.0892411
Canada;2021/05/22;1.0340432
Canada;2021/05/23;1.0671619
Canada;2021/05/24;1.0671619
Canada;2021/05/25;1.0230036
Canada;2021/05/26;1.0598023
Canada;2021/05/27;1.1076405
Canada;2021/05/28;1.0598023
Canada;2021/05/29;1.0708418
Canada;2021/05/30;0.9935646
Canada;2021/05/31;1.011964
Canada;2021/06/01;1.0450828
Canada;2021/06/02;0.9935646
Canada;2021/06/03;0.87948865
Canada;2021/06/04;0.91996723
Canada;2021/06/05;0.8574095
Canada;2021/06/06;0.86476916
Canada;2021/06/07;0.8537296
Canada;2021/06/08;0.7690926
Canada;2021/06/09;0.7690926
Canada;2021/06/10;0.8058913
Canada;2021/06/11;0.8279705
Canada;2021/06/12;0.82429063
Canada;2021/06/13;0.75437313
Canada;2021/06/14;0.69549525
Canada;2021/06/15;0.71389455
Canada;2021/06/16;0.65501666
Canada;2021/06/17;0.65501666
Canada;2021/06/18;0.5666998
Canada;2021/06/19;0.50414205
Canada;2021/06/20;0.4967823
Canada;2021/06/21;0.51518166
Canada;2021/06/22;0.52990115
Canada;2021/06/23;0.51886153
Canada;2021/06/24;0.673416
Canada;2021/06/25;0.6476569
Canada;2021/06/26;0.6623764
Canada;2021/06/27;0.6476569
Canada;2021/06/28;0.5961388
